Story,Label,UniqueName,Section,Location,Moment negative,Combo,As Top,Moment positive,Combo,As Bot
Story2,B5,78,CB-12 40x60,Middle,-115718.5,12) .9CMT+1.1SDX,0.72,889531.49,2) 1.3CMT+1.5CVM,5.63
Story3,B9,65,CB-12 40x60,Middle,-109780.71,12) .9CMT+1.1SDX,0.68,1268028.71,2) 1.3CMT+1.5CVM,6.09
Story2,B4,81,CB-12 40x60,Middle,-106769.28,12) .9CMT+1.1SDX,0.66,1001519.66,2) 1.3CMT+1.5CVM,6.03
Story2,B2,87,CB-12 40x60,Middle,-103932.44,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,0.64,1019576.57,2) 1.3CMT+1.5CVM,6.03
Story1,B5,76,CB-12 40x60,Middle,-100678.73,12) .9CMT+1.1SDX,0.62,892569.42,2) 1.3CMT+1.5CVM,5.65
Story1,B4,79,CB-12 40x60,Middle,-88356.7,12) .9CMT+1.1SDX,0.55,1004658.26,2) 1.3CMT+1.5CVM,6.03
Story1,B7,73,CB-12 40x60,Middle,-86645.04,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,0.54,974379.68,2) 1.3CMT+1.5CVM,6.03
Story3,B2,86,CB-12 40x60,Middle,-84999.15,13) .9CMT+1.1SDY,0.53,1014156.77,2) 1.3CMT+1.5CVM,6.03
Story2,B11,90,CB-12 40x60,Middle,-82617.18,12) .9CMT+1.1SDX,0.51,967164.94,2) 1.3CMT+1.5CVM,6.03
Story2,B8,69,CB-12 40x60,Middle,-73446.9,12) .9CMT+1.1SDX,0.46,966736.73,2) 1.3CMT+1.5CVM,6.03
Story3,B5,77,CB-12 40x60,Middle,-69797.95,12) .9CMT+1.1SDX,0.43,885733.14,2) 1.3CMT+1.5CVM,5.61
Story1,B2,85,CB-12 40x60,Middle,-68896.69,12) .9CMT+1.1SDX,0.43,1023901.59,2) 1.3CMT+1.5CVM,6.03
Story3,B4,80,CB-12 40x60,Middle,-60189.52,12) .9CMT+1.1SDX,0.37,996303.16,2) 1.3CMT+1.5CVM,6.03
Story1,B11,88,CB-12 40x60,Middle,-54165.19,12) .9CMT+1.1SDX,0.34,971930.84,2) 1.3CMT+1.5CVM,6.03
Story2,B6,72,CB-12 40x60,Middle,-46711.35,13) .9CMT+1.1SDY,0.29,1006013.67,2) 1.3CMT+1.5CVM,6.03
Story1,B8,67,CB-12 40x60,Middle,-43782.05,12) .9CMT+1.1SDX,0.27,968868.42,2) 1.3CMT+1.5CVM,6.03
Story3,B6,71,CB-12 40x60,Middle,-34341.32,13) .9CMT+1.1SDY,0.21,999744.3,2) 1.3CMT+1.5CVM,6.03
Story2,B3,84,CB-12 40x60,Middle,-28102.17,12) .9CMT+1.1SDX,0.17,1281286.95,2) 1.3CMT+1.5CVM,6.15
Story1,B6,70,CB-12 40x60,Middle,-22434.72,12) .9CMT+1.1SDX,0.14,1011185.03,2) 1.3CMT+1.5CVM,6.03
Story3,B8,68,CB-12 40x60,Middle,-21687.91,13) .9CMT+1.1SDY,0.13,963052.9,2) 1.3CMT+1.5CVM,6.03
Story4,B7,170,CB-12 40x60,Middle,-17957.08,13) .9CMT+1.1SDY,0.11,864420.39,2) 1.3CMT+1.5CVM,5.47
Story3,B11,89,CB-12 40x60,Middle,-17615.01,12) .9CMT+1.1SDX,0.11,961068.87,2) 1.3CMT+1.5CVM,6.03
Story1,B3,82,CB-12 40x60,Middle,-10393.82,12) .9CMT+1.1SDX,0.06,1284939.07,2) 1.3CMT+1.5CVM,6.17
Story4,B2,174,CB-12 40x60,Middle,0,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,0,980141.41,2) 1.3CMT+1.5CVM,6.03
Story4,B3,173,CB-12 40x60,Middle,0,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,0,953154.41,2) 1.3CMT+1.5CVM,6.03
Story4,B4,172,CB-12 40x60,Middle,0,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,0,958689.67,2) 1.3CMT+1.5CVM,6.03
Story4,B5,171,CB-12 40x60,Middle,0,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,0,760631.57,2) 1.3CMT+1.5CVM,4.8
Story4,B6,169,CB-12 40x60,Middle,0,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,0,971677.44,2) 1.3CMT+1.5CVM,6.03
Story4,B8,168,CB-12 40x60,Middle,0,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,0,954772.39,2) 1.3CMT+1.5CVM,6.03
Story4,B9,167,CB-12 40x60,Middle,0,10) 1.1CMT+1.1CVI-.33SDX-1.1SDY,0,962507.61,2) 1.3CMT+1.5CVM,6.03
Story4,B10,166,CB-12 40x60,Middle,0,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,0,941716.7,2) 1.3CMT+1.5CVM,5.97
Story4,B11,175,CB-12 40x60,Middle,0,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,0,956854.89,2) 1.3CMT+1.5CVM,6.03
Story3,B3,83,CB-12 40x60,Middle,0,6) 1.1CMT+1.1CVI-.33SDY-1.1SDX,0,1276070.19,2) 1.3CMT+1.5CVM,6.13
